!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.65309480697436,-19.553003,-82.290718,-36.034405,-40.812798,-31.283882,64.236816,10.644472,69.195221
0.65756805907692,-19.552034,-82.277855,-35.341316,-55.52327,-30.862841,62.342854,12.108392,52.003311
0.66204131117949,-19.549036,-82.27552,-37.075539,-40.75972,-31.443432,63.434776,9.5949898,65.884216
0.66651456328205,-19.548954,-82.285027,-36.709778,-38.129719,-31.545675,63.780991,9.7419004,73.681137
0.67098781538462,-19.55065,-82.286606,-38.122009,-38.748486,-31.634209,62.898483,8.2695446,70.335175
0.67546106748718,-19.552197,-82.273331,-38.417557,-34.026608,-31.649183,61.183468,8.0834417,75.099579
0.67993431958974,-19.556274,-82.254585,-37.918587,-45.012787,-31.374035,59.542755,8.7246847,63.968697
0.68440757169231,-19.557678,-82.244125,-37.375927,-42.363762,-31.268719,59.549538,9.9995327,66.03701
0.68888082379487,-19.558329,-82.243477,-38.526386,-36.148838,-31.619335,58.786823,8.428895,71.18161
0.69335407589744,-19.558956,-82.248169,-38.136162,-36.577705,-31.565697,58.731651,8.7267847,71.359283
0.697827328,-19.559486,-82.242744,-38.037884,-45.698837,-31.348967,57.083576,9.4123869,61.453487
0.70230058010256,-19.561653,-82.240311,-39.009518,-52.564823,-31.224478,55.526253,8.9927683,52.445072
0.70677383220513,-19.562405,-82.237015,-38.275581,-47.428543,-31.305744,54.712311,9.3387718,60.752544
0.71124708430769,-19.561928,-82.228935,-37.487164,-40.193554,-31.408882,55.567562,9.6752539,68.269203
0.71572033641026,-19.561655,-82.225395,-39.322556,-37.615776,-31.747183,55.237862,7.5879803,76.098343
0.72019358851282,-19.560181,-82.231789,-42.422405,-28.399134,-32.078209,53.134163,3.4751954,81.702003
0.72466684061538,-19.560499,-82.228905,-42.876049,-33.265377,-31.990332,52.264915,2.9990463,75.42186
0.72914009271795,-19.559456,-82.190468,-42.120281,-31.447182,-31.916414,52.222836,3.6547194,80.000542
0.73361334482051,-19.559736,-82.184425,-41.18774,-48.099033,-31.770576,52.214542,5.3249135,62.966927
0.73808659692308,-19.559,-82.186646,-40.825962,-49.231297,-31.772285,52.660419,5.8176408,69.852715
0.74255984902564,-19.559248,-82.182579,-41.876751,-47.666374,-31.813335,51.1017,4.8786159,65.418808
0.74703310112821,-19.561398,-82.192261,-41.591145,-34.093914,-31.931936,51.814007,4.2142348,79.337372
0.75150635323077,-19.560404,-82.197769,-37.55619,-47.517513,-31.238653,53.053627,9.7571306,62.38018
0.75597960533333,-19.560558,-82.177414,-37.213264,-53.975361,-31.058969,52.681858,10.543513,55.603157
0.7604528574359,-19.561546,-82.178368,-36.330654,-50.057674,-30.966547,53.953861,10.983906,59.550644
0.76492610953846,-19.563065,-82.167374,-35.617306,-40.713516,-30.963781,55.728134,11.613013,68.093094
0.76939936164103,-19.562855,-82.188866,-37.724125,-48.996395,-31.300177,53.40358,9.357707,60.879375
0.77387261374359,-19.563595,-82.213127,-38.12645,-72.264519,-31.227659,50.786144,9.2524996,35.788639
0.77834586584615,-19.561184,-82.250351,-36.787334,-66.318558,-30.893517,51.830593,10.710157,42.495708
0.78281911794872,-19.562613,-82.281555,-34.559185,-73.711609,-30.639883,51.705349,12.84586,35.992882
0.78729237005128,-19.56251,-82.302979,-37.992073,-57.904419,-31.377853,52.723476,8.9383774,45.58868
0.79176562215385,-19.561108,-82.311813,-38.034203,-47.598713,-31.552328,54.711445,8.7799215,58.447651
